Word,count
will,36
now,29
say,25
day,24
let,23
stop,21
know,18
long,18
see,18
want,18
freedom,17
god,17
right,16
happen,15
man,15
one,15
get,14
nation,14
new,14
tell,14
memphis,13
move,13
sneez,13
together,13
world,13
come,12
people,12
weve,12
like,11
live,11
men,11
question,11
didnt,10
dream,10
great,10
ring,10
came,9
children,9
dont,9
need,9
read,9
take,9
talk,9
america,8
ask,8
even,8
help,8
jesus,8
kind,8
land,8
mean,8
time,8
today,8
white,8
year,8
alabama,7
allow,7
first,7
jerusalem,7
knew,7
look,7
march,7
must,7
preacher,7
shall,7
state,7
struggle,7
tonight,7
turn,7
able,6
black,6
bull,6
concern,6
determine,6
end,6
force,6
glorious,6
little,6
mountain,6
road,6
slave,6
water,6
york,6
alway,5
arent,5
back,5
begin,5
brother,5
girl,5
injunct,5
king,5
letter,5
matter,5
period,5
place,5
possible,5
power,5
problem,5
remember,5
sing,5
somehow,5
somewhere,5
stand,5
watch,5
wonder,5
worker,5
